Personnage,Réplique
ARTHUR,Un pignouf avec des grelots accrochés aux pompes ? Ça fait une demi-heure qu’il attend dans le couloir ! Alors la surprise…
LANCELOT,On n’a jamais dit qu’il fallait attendre qu’ils arrivent au château !
LÉODAGAN,Alors il faut donner l’ordre de tirer sur les Drakkars !
BOHORT,Sire ? (de nouveau) Sire !
ARTHUR,Hein ? Qu’est-ce qu’il y a ? Vous m’avez parlé ?
LANCELOT,À propos des Vikings…
BOHORT,Laquelle ?
BOHORT,C’est parce que la mélodie est simple.
ARTHUR,Vous trouvez pas ?
MERLIN,Carrément ?
ARTHUR,C’est-à-dire ?
BOHORT,Et les trébuchets ?
BOHORT,Et s’ils en ont ?
BOHORT,Sire ? On prépare un bataillon ?
BOHORT,Sire ?
ARTHUR,Attendez une seconde. « Mon petit oiseau
BOHORT,À… À propos des Vikings…
PERCEVAL,C’est le Seigneur Dagonet qui me l’a ramenée de Judée. Il paraît que c’est typique.
BOHORT,C’est traditionnel !
DAGONET,Vous voulez dire à propos du Graal ?
ARTHUR,La langue… ?
ARTHUR,Eh ben quoi ?
DAGONET,Ah vous pouvez pas savoir !
KARADOC,Ils ont pas des bonnes spécialités ?
DAGONET,C’est pas que c’est pas bon…
BOHORT,Peut-être un peu épicé ?
DAGONET,Les monuments ?
ARTHUR,Le Graal !
ARTHUR,Ce serait pas mal.
BOHORT,C’est pittoresque !
ARTHUR,Et après ?
DAGONET,Et après – tenez-vous bien – j’apprends à force de le cuisiner qu’il est de la famille de
DAGONET,Comme je vous dis ! Joseph d’Arimathie qui a recueilli le sang du Christ avec le Graal et tout le tableau !
LANCELOT,La vache !
ARTHUR,Et après ?
ARTHUR,Quoi ?
KARADOC,C’est pas tellement que c’est fort… Je dirais plutôt que ça pique.
KARADOC,C’est pas faux.
PERCEVAL,J’ai jamais su ce que ça voulait dire « sinécure ».
PERCEVAL,« C’est pas faux » ?
PERCEVAL,C’est pas faux.
PERCEVAL,Je sais bien…
ARTHUR,Et alors…
LANCELOT,Ils ont coupé les deux issues au nord et au nord-est !
ARTHUR,Mais c’est pas sûr ça !
LANCELOT,On va pas courir vers des points de retraite en sachant qu’il y a neuf chances sur dix qu’ils soient exposés !
LANCELOT,Il faut trouver un autre point !
ARTHUR,Je croyais que les cartes étaient fausses ! Faudrait savoir !
LANCELOT,Mais elles sont vraiment vieilles ?
PERCEVAL,Euh… C’est pas faux.
ARTHUR,Quoi « c’est pas faux » ?
PERCEVAL,De quoi ?
LANCELOT,On vous demande si vous pensez que les cartes sont obsolètes !
ARTHUR,Vous vous êtes encore débrouillé comme un chef ! Je me demande vraiment ce qu’on peut vous confier…
PERCEVAL,De quoi ?
LANCELOT,Convergente ?
LANCELOT,Trois… Deux… Un…
PERCEVAL,C’est bien normal.
ANGHARAD,Surtout qu’on s’est pas vus beaucoup ces derniers temps !
ANGHARAD,Ça m’a fait du bien de parler. Merci.
ARTHUR,Quoi ? Ben… évidemment que si !
PERCEVAL,C’est « côtelettes » que vous comprenez pas ?
ARTHUR,Si mais il surveille le couloir.
LÉODAGAN,À part la tête qu’était dans l’escalier.
LANCELOT,Ça fait quatorze serviteurs morts en moins d’un mois.
BOHORT,Quinze avec celui de ce matin.
BOHORT,On ne peut malheureusement pas tous avoir un garde du corps !
ARTHUR,Et de quand date le premier mort ?
BOHORT,On se posait simplement la question…
ARTHUR,Quoi ?
BOHORT,Le pauvre homme !
LANCELOT,Mais pourquoi vous avez fait ça ?
LÉODAGAN,Elle était dans l’escalier.
ARTHUR,Mais vous êtes complètement givré !
BOHORT,Mais combien ?
BOHORT,J’étais allé chercher une poire aux cuisines !
BOHORT,Sire !
LÉODAGAN,Quoi ?
ARTHUR,Où est-ce que vous allez ?
GUENIÈVRE,Et alors ? Vous croyez qu’il me laissera pas sortir ?
DEMETRA,Mmh.
ARTHUR,Ce serait plus marrant s’il y avait un canard ou…
DEMETRA,Un canard ?
DEMETRA,Qu’est-ce que vous voulez qu’on foute d’un canard ?
DEMETRA,Rien. Je suis juste un peu…
ARTHUR,Un peu quoi ?
DEMETRA,Je sais pas. Un peu triste.
ARTHUR,Allons bon. Pourquoi ?
DEMETRA,Pour rien.
ARTHUR,C’est intelligent.
DEMETRA,Mais pourquoi ? Elle a quelque chose contre moi ?
DEMETRA,Pourquoi ?
ARTHUR,Pour rien. Pareil que vous.
DEMETRA,Ben moi aussi.
DEMETRA,Qu’est-ce qu’il y a qui va pas ?
GUENIÈVRE,Vous êtes trop serré ?
DEMETRA,Je sais pas quoi ?
GUENIÈVRE,Vous vous êtes jamais retrouvé avec deux femmes dans votre lit ?
DEMETRA,Vous déconnez ?
GUENIÈVRE,Essayez au moins !
ARTHUR,Ben ça va pas. C’est même pas la peine de commencer !
GUENIÈVRE,Essayez de nous mettre sur la voie !
GUENIÈVRE,Si c’est que ça…
ARTHUR,Cinq minutes !
LANCELOT,C’est le Seigneur Karadoc.
LÉODAGAN,On a bien bouffé. Non ?
ARTHUR,Un peu lourdingue.
BOHORT,C’est le charme de ces repas forestiers… On sent que le cuisinier improvise avec ce qu’il trouve autour du campement.
ARTHUR,Qu’est-ce que vous avez à sourire comme des glands ?
KARADOC,Et comme c’est nous qui avons trouvé les champignons…
PERCEVAL,On est tombés sur un coin.
KARADOC,Il y avait qu’à se baisser.
LÉODAGAN,Sire ! Les troupes ennemies ?
ARTHUR,« Les troupes ennemies…» Vous voyez bien qu’on n’est pas en état !
LÉODAGAN,Mais tachetés comment ? Avec des points blancs ?
PERCEVAL,Mais qu’est-ce que ça change puisque vous les avez pas aimés ?
LÉODAGAN,C’est pour savoir si en plus de la chiasse on s’apprête à crever dans la demi-heure !
BOHORT,J’ai pas eu le temps d’enlever mon armure.
LANCELOT,Sire ! Si les troupes ennemies arrivent jusqu’ici…
LANCELOT,Il faut bien que quelqu’un y pense !
ARTHUR,Faites sonner la retraite !
LÉODAGAN,Quoi ?
GUENIÈVRE,Ça va mieux ?
ARTHUR,Non.
ARTHUR,Cent trente-cinq hommes contre soixante. Du tout cuit.
DAME SÉLI,Peut-être pas…
DAME SÉLI,PEUT-ÊTRE QU’ILS BOSSENT POUR CEUX D’EN FACE !
ARTHUR,Parce que ?
MERLIN,C’est délicat ! Imaginez que ça s’envenime…
ARTHUR,Ah bah quand même ! C’est pas dommage !
MERLIN,J’étais à l’autre bout du camp. C’est pour ?
ARTHUR,Le cheval du Seigneur Perceval.
PERCEVAL,Elle boite. Il faut me la rafistoler parce qu’il faut que je tape quinze lieues jusqu’à la frontière.
MERLIN,Bah si !
ARTHUR,Eh ben alors ?
PERCEVAL,Vous pouvez rien faire ?
MERLIN,Bah non.
AELIS,Eh ben ?
AELIS,Point de vue quoi ? Agencement ?
AELIS,Crédible par rapport à quoi ?
AELIS,Le Grand Livre du Druide.
LANCELOT,Faites-nous un sort.
MERLIN,Pour quoi faire ?
ARTHUR,Pour qu’on vérifie si vous savez les faire.
MERLIN,Dites tout de suite que vous avez pas confiance !
ARTHUR,J’en ai rien à foutre ! Un sort.
LANCELOT,Quelque chose qui prouve votre puissance.
MERLIN,Ça y est.
ARTHUR,Ça y est quoi ?
MERLIN,Prenez une pièce dans votre bourse.
ARTHUR,Eh ben ?
ARTHUR,Ah ouais.
LANCELOT,C’est un sort.
DAME SÉLI,Vous avez fait vos valises pour demain ?
DAME SÉLI,Vous avez fait préparer votre chambre pour l’Évêque Boniface ?
GUENIÈVRE,Oui… Ça m’agace un peu de devoir donner ma chambre à un Évêque.
EVEQUE BONIFACE,Plaît-il ?
ARTHUR,AH ! Mais qui êtes-vous ? Qu’est-ce que vous foutez là ?
ARTHUR,À quel sujet ? Au sujet que vous êtes couché dans mon page ! Alors je sais pas qui vous êtes mais vous allez décaniller vite fait ou j’appelle la garde !
ARTHUR,Je reconnais que c’est pas très futé de vous avoir donné ma chambre…
EVEQUE BONIFACE,C’est vrai que c’est une idée originale…
ARTHUR,L’interdire ? Pour quoi faire ?
ARTHUR,Mettons. Et après ?
ARTHUR,À quoi je la reconnaîtrai ?
ARTHUR,Bon.
ARTHUR,Qu’est-ce que c’est ?
ARTHUR,Mais… Un cake magique ou…
ARTHUR,C’est gentil.
BOHORT,On n’y voit pas à deux pas devant soi ! Quelle épouvante !
BOHORT,Des heures ! Les torches vont bientôt s’éteindre et on ne pourra même plus rebrousser chemin !
LÉODAGAN,On pourra toujours mais… dans le noir.
LÉODAGAN,Comment ça « pour rien » ?
BOHORT,C’est vrai ou c’est pas vrai ?
ARTHUR,L’émeraude géante ?
LANCELOT,Je suis désolé ; je peux pas en même temps commander à gauche et à droite ! Il faut que je délègue les lanciers à Perceval.;
LANCELOT,Le Seigneur Calogrenant est parti il y a deux jours pour placer son armée en amont de la rivière.
PERCEVAL,Par la gauche…
PERCEVAL,Mais par rapport au courant de la rivière ?
ARTHUR,Mais merde avec votre rivière !
PERCEVAL,C’est un point de repère comme un autre !
LANCELOT,Il y a pas besoin de point de repère puisque les envahisseurs vont nous attaquer de face !
LANCELOT,Quoi ?
PERCEVAL,Quoi « quoi ? » Ça fait une heure que vous me parlez de Calogrenant et Léodagan mais vous m’avez pas dit qu’il y avait des envahisseurs !
PERCEVAL,Mais vous me dites « ils attaquent par la gauche ! »
LANCELOT,Mais ils nous attaquent pas nous ! Ils nous défendent contre les autres !
PERCEVAL,Bon bah d’accord !
LANCELOT,Les envahisseurs attaquent de face…
LANCELOT,Mais qu’est-ce que vous aimez pas ?
ARTHUR,Mais qu’est-ce que vous nous racontez ?
PERCEVAL,Professionnel !
ARTHUR,Du côté de la rivière à gauche du…
ARTHUR,Pardon. Du côté de la rivière où il y a les brebis qui passent.
ARTHUR,Vous êtes pas gaucher.
PERCEVAL,Ben si.
LANCELOT,Vous dégainez de la main droite.
PERCEVAL,Merde… Comment on dit l’inverse d’une fausse patte ?
ARTHUR,Je sais pas. On dit rien.
LANCELOT,La vraie patte ?
PERCEVAL,Et alors ?
DAME SÉLI,Il y a plus un rond au château. On économise les torches. C’est la consigne !
LÉODAGAN,Mais la consigne pour les larbins ! Pas pour nous !
DAME SÉLI,Alors on fout les larbins dans le noir pour éponger le déficit ?
ARTHUR,Vous êtes sûrs que vous poussez pas un peu ?
LÉODAGAN,Séchés ! Désossés ! Plus un radis ! Les caisses sont vides et c’est pas une image ! On voit le fond !
ARTHUR,Mais enfin qu’est-ce qui s’est passé ? Je croyais qu’on faisait gaffe…
ARTHUR,Trois catapultes ! Mais vous êtes marteau !
LÉODAGAN,Il faut ce qu’il faut…
BOHORT,Je vous signale au passage que c’est à cause de ça qu’on avait plus que des asperges à servir aux Princes Vandales.
LÉODAGAN,Il y a pas de honte à servir des asperges.
BOHORT,Je ne vois pas en quoi un marchand d’esclaves pourrait nous sortir de nos problèmes pécuniaires.
ARTHUR,J’avoue que je vois pas bien non plus. (à Venec) Vous allez nous racheter le château à un bon prix ?
BOHORT,Sire ! Est-ce que nous avons vraiment besoin de nous adresser à cette vermine ?
LÉODAGAN,C’est pas des vraies.
VENEC,C’est moi qui les fabrique.
BOHORT,Comment ?
ARTHUR,Vous vous foutez de moi ?
ARTHUR,On peut savoir depuis quand vous fabriquez votre propre pognon ?
LÉODAGAN,Ça va ! On va pas faire un flan pour deux trois piécettes !
ARTHUR,Vous êtes conscient que je devrais vous faire arrêter et vous balancer dans une cage jusqu’à ce que vous soyez décomposé ?
VENEC,Je vous en fais un bon prix.
BOHORT,C’est honteux !
ARTHUR,Parce que ça se passe chez moi ! J’aimerais bien voir votre tête s’il faisait ça avec des pièces de votre Royaume à vous !
LÉODAGAN,Quoi ! Ah bah de mieux en mieux !
ARTHUR,Ah bon ?
ARTHUR,Il y a toujours quelque chose qui va pas avec celle-là.
GUENIÈVRE,Il est fatigué… et puis c’est vrai qu’elle s’occupe bien de lui.
ANGHARAD,Quand même ! Ça fait combien de nuits qu’il dort pas dans son lit ?
GUENIÈVRE,Je sais plus… Trois ou quatre.
ANGHARAD,Trois ? ou quatre ?
ANGHARAD,Charmant.
LANCELOT,Bonjour.
GUENIÈVRE,Et moi ?
GUENIÈVRE,Ben… qu’il aille bien.
LANCELOT,Non mais d’accord mais vous… vous n’avez jamais envie de rien ?
GUENIÈVRE,Cette fille est très bien !
LANCELOT,Et les autres ?
GUENIÈVRE,Quelles autres ?
LANCELOT,Vous savez… j’ai beaucoup voyagé.
GUENIÈVRE,Qu’est-ce que vous voulez que ça me fasse ?
LANCELOT,On dit que je suis fidèle.
LANCELOT,Qu’est-ce qu’on dit ?
LANCELOT,J’aime une femme en secret et n’en aimerai pas d’autre jusqu’à ma mort.
GUENIÈVRE,Mais pourquoi en secret ? Vous êtes pas plus moche qu’un autre ! Faut pas vous laisser abattre !
LANCELOT,« L’amour a ses raisons que la raison ignore. »
LANCELOT,Je trouve mon bonheur dans la solitude et l’errance.
LANCELOT,Il faut que je le tue.
GUENIÈVRE,Ben voilà.
LANCELOT,Il faut que je le tue… (regardant Guenièvre) et après…
GUENIÈVRE,Je vais quand même pas tout vous expliquer non plus. Chacun ses problèmes…
ARTHUR,Qu’est-ce qui arrive ?
DEMETRA,Qu’est-ce qu’il veut ?
LANCELOT,Je… Je…
LANCELOT,J’avais entendu un bruit…
LANCELOT,C’est pas possible… Les éclaireurs sont formels : les Vandales devraient être là.
LÉODAGAN,Ils ont pas l’air tellement là…
ARTHUR,Vous comprenez le danger ?
LANCELOT,On a cherché à les surprendre…
MERLIN,C’est réussi !
LANCELOT,Je viens avec vous au cas où ils aient laissé des hommes à l’arrière.
MERLIN,J’arrive au détour du canal et j’invoque un mur de flammes pour les bloquer avant la frontière.
LÉODAGAN,Vous orientez le feu pour les canaliser vers le pont et les obliger à traverser.
MERLIN,Allez ! Verrouillé ! C’est parti… Le seul truc c’est que…
MERLIN,Merde…
MERLIN,Vous avez entendu ?
LÉODAGAN,Je croyais que c’était vos potes…
MERLIN,C’est pas ça mais ils ont une femelle blessée. Une adulte de douze ans qui a fait une chute après un éboulement… Elle a la patte cassée et le bassin dévié.
LANCELOT,Qui ça ?
MERLIN,Le loup ! Vous avez entendu comme moi !
MERLIN,J’ai pas bien entendu si elle marchait tordu ou si elle boitait…
ARTHUR,Rassurez-moi : vous allez au mur de flammes ?
LÉODAGAN,Non mais c’est pas possible d’entendre ça !
LANCELOT,On est peut-être pas vos Dieux mais on peut quand même s’énerver !
ARTHUR,Ok…
DAME SÉLI,Encore une chance !
LÉODAGAN,C’est bien le moins que vous pouviez faire !
ARTHUR,Ah bah je suis touché par votre gratitude ! Je vous rappelle quand même que j’ai viré Agravain pour lui faire une place !
DAME SÉLI,Excusez-moi mais vous y avez gagné au change !
LÉODAGAN,Agravain… Vous allez quand même pas comparer mon fils à ce débile !
LÉODAGAN,J’aimerais bien savoir à quoi !
ARTHUR,Il participait.
LÉODAGAN,Ah bravo ! Vous parlez d’un héros !
ARTHUR,Ah si.
DAME SÉLI,Peut-être qu’il parle pas tout simplement parce qu’il a rien à dire !
LÉODAGAN,Vous avez quelque chose à dire ?
YVAIN,Non.
DAME SÉLI,Mais il participe ! C’est pas parce qu’il passe pas son temps à hurler et à taper du poing sur la table qu’il participe pas !
DAME SÉLI,Il est sensible. Vous préféreriez peut-être qu’il passe son temps à faire des concours de pets ?
ARTHUR,C’est la seule alternative que vous me proposez ? Rien branler de la journée ou faire des concours de pets ?
DAME SÉLI,J’y peux rien si c’est un artiste ! Il écrit des poèmes magnifiques !
ARTHUR,Formidable !
LÉODAGAN,Quoi ?
ARTHUR,Quoi ?
YVAIN,Je refuse d’aller me battre pour soutenir une politique d’expansion territoriale dont je ne reconnais pas la légitimité.
LÉODAGAN,Fier ? Je vais l’envoyer trois mois à poil dans la forêt à bouffer des racines et des asticots !
YVAIN,Super ! Bonjour la pédagogie !
LÉODAGAN,Vous irez vous battre ou je vous en mets une !
YVAIN,Je réponds pas à la violence !
DAME SÉLI,Vous avez raison ! Vous avez pas à vous faire massacrer si vous en avez pas envie.
YVAIN,Non !
LÉODAGAN,Si !
LÉODAGAN,Quand même !
YVAIN,Mais je refuse de porter les armes.
GUENIÈVRE,Je ne suis pas enceinte.
ARTHUR,Mmh ?
GUENIÈVRE,Qu’est-ce que mon frère vient faire là-dedans ?
GUENIÈVRE,Vous avez de la chance…
LANCELOT,L’adoubement.
PERCEVAL,Encore un nom à coucher dehors…
LANCELOT,Comment voulez-vous que ça s’appelle ?
PERCEVAL,Ils auraient pu se creuser la tronche pour trouver un autre nom… Je sais pas moi… « Chevaliérisation ? »
PERCEVAL,Quoi ? C’est déjà pris ?
PERCEVAL,Le nom est zéro mais ça reste drôlement chic comme cérémonie.
LANCELOT,Un nouveau Chevalier entre dans la grande famille de la Table Ronde…
PERCEVAL,Pendant mon… ?
LANCELOT,Adoubement !
ARTHUR,Qu’est-ce que vous avez pas eu ?
ARTHUR,Pas grave ?
ARTHUR,Mais c’est pas le problème d’armure ou d’épée ! Vous pourriez vous balader avec une cuiller à soupe : l’adoubement c’est une condition pour être Chevalier !
PERCEVAL,Ah bon ?
PERCEVAL,C’est gentil mais vous cassez pas la nénette pour moi…
ARTHUR,Mais on s’en fout de vous ! Là !
PERCEVAL,Comment ça ?
PERCEVAL,Je vois pas le rapport avec la Bretagne…
ARTHUR,Il y est ou pas ?
ARTHUR,Il faut regarder à « G » peut-être ?
PERCEVAL,Gerceval ?
ARTHUR,Perceval de Galles.
PERCEVAL,Et dans les « F » ?
PERCEVAL,Ben je sais pas : on n’a pas regardé dans les « F »… Si ?
ARTHUR,Mais ne soyez pas con ! Je vais vous adouber maintenant !
ARTHUR,« Que Dieu te fasse Chevalier pour ton honneur et celui de ton lignage. » Voilà !
PERCEVAL,Ils auraient pu prendre « Chevaliérisation ».
GUENIÈVRE,J’aurais plutôt pensé que ça vous ferait plaisir…
LÉODAGAN,Ça me fait plaisir parce que je peux pas le blairer mais c’est pas la question. Ça se fait pas.
LÉODAGAN,Mais quoi ?
GUENIÈVRE,Mère ! Il me semble que c’est une chose qui pourrait rester entre nous !
LÉODAGAN,Eh ben disons que je le répéterai pas !
DAME SÉLI,Votre gendre.
LÉODAGAN,Eh ben ?
DAME SÉLI,Eh ben il a peur du noir.
ARTHUR,Bon ben je crois qu’on a tout bouclé ?
ARTHUR,Personne n’a de question ?
ARTHUR,Une suggestion ? Mais dans quel genre ?
LÉODAGAN,Dans le genre proposition de Quête.
CALOGRENANT,Parce qu’elle vous avait jeté le mauvais œil et que vous pétiez dans vos frocs !
PERCEVAL,N’empêche que c’est moi qu’avais proposé.
KARADOC,De… ?
LANCELOT,De Skavens. Des Hommes-Rats.
CALOGRENANT,Des machins bien dégénérés…
PERCEVAL,Mais… on serait de taille à lutter ?
BOHORT,Alors qu’est-ce qu’il faut faire ?
LÉODAGAN,C’est simple : il faut s’engager dans le souterrain torches éteintes.
LÉODAGAN,Dites tout de suite que j’ai des idées de tocard !
LÉODAGAN,Ah si ! Tout le monde ! La fine équipe !
ARTHUR,Attendez… Je crois qu’il faut d’abord essayer de pas s’emballer…
ARTHUR,Encore deux-trois secondes…
ARTHUR,Ouais… On y voit quand même carrément mieux avec la torche.
ARTHUR,Quoi ?
ARTHUR,Bah pourquoi ? Il est gentil !
GUENIÈVRE,Il est surtout affreusement sale.
GUENIÈVRE,S’il vous plaît !
GUENIÈVRE,Ça me dégoûte !
ARTHUR,Oh mais c’est pas croyable de faire un flan pareil pour un malheureux greffier !
GUENIÈVRE,C’est surtout pas croyable de votre part de pas comprendre que j’aime pas les…
ARTHUR,Eh ben transformez-vous en autre chose !
MERLIN,Je comprends pas ce qui vous gêne…
ARTHUR,Ah mais c’est pas vrai !
ARTHUR,Une semaine dans le labo sans sortir ?
MERLIN,Je joue la sécurité.
ARTHUR,Et qu’est-ce que vous bouffez ?
MERLIN,Des moucherons.
MERLIN,Je me tire une toile à partir de l’étagère jusqu’au rebord du…
ARTHUR,Ben ouais.
